,id,gradeLevel,questionType,theme,question,optionA,optionB,optionC,optionD,answer,explanation,image,questionAudio,optionsAudio,configJson,isActive,note
1,low001,low,single_choice,一、 AI 認知與資訊素養 (AI 基本原理),請問 AI（人工智慧）到底是什麼呢？,裡面躲著一個聰明的真人,是一種會學習的科技工具,是一種真正的魔法,,B,AI 是一個聰明的機器，不是魔法，而是利用電腦模擬人類智慧，是一種會學習的科技工具。,,,,,,
2,low002,low,single_choice,三、 使用安全與倫理規範 (個人隱私保護),和 AI 聊天時，絕對「不可以」告訴它什麼事情？,今天的午餐吃了什麼,我喜歡看的卡通名稱,我的真實姓名、住址和電話,,C,在網路上傳送訊息可能會被壞人偷看或被 AI 記錄，保護自己的個資（姓名、住址、電話）是最重要的好習慣。,,,,,,
3,low003,low,single_choice,一、 AI 認知與資訊素養 (辨別真偽),在網路上看到一張「狗狗長出翅膀在天上飛」的照片，你應該怎麼想？,哇！狗狗真的會飛,有人去天空拍到的真實照片,可能是用AI合成的假照片，不能隨便相信,,C,像「深偽」技術可能會做出合成像真的一樣的照片，所以我們不能什麼都相信，要學會判斷與查證。,,,,,,
4,low004,low,single_choice,二、 學習運用與正向協助 (輔助學習工具),遇到不會寫的作業，應該怎麼跟 AI（例如教育部 e 度）合作呢？,請AI直接給我答案，我照抄就好,請AI當「解釋小幫手」，教我怎麼思考,都不寫，明天去學校抄同學的,,B,要把 AI 當成學習的好夥伴，學習新知識時多問為什麼，而不是把它當作直接給答案的機器，這樣才不會讓我們的「思考肌肉」變無力。,,,,,,
5,low005,low,single_choice,二、 學習運用與正向協助 (輔助學習工具),如果你想練習說英文，可以使用哪一種工具當作你的學習好幫手呢？,直接拿同學的英文考卷來抄,使用教育部「酷英網」的英語聊天機器人一起練習,叫 AI 直接幫我考英文聽力,,B,我們可以利用專為教育設計的工具（例如酷英網的聊天機器人）作為外國學習夥伴，來練習外語口說對話。,,,,,,
6,low006,low,single_choice,三、 使用安全與倫理規範 (個人隱私保護),在網路上和 AI 聊天時，下面哪一件事情是絕對「不可以」告訴 AI 的？,我今天早餐吃了三明治,我家的真實地址和密碼,我喜歡的卡通人物是誰,,B,姓名、住址、電話和密碼等都是重要的個人秘密資訊，絕對不能告訴 AI，以免個人隱私資料外洩被壞人利用。,,,,,,
7,low007,low,single_choice,一、 AI 認知與資訊素養 (辨別真偽),在網路上看到一張「大象在雲端上跳舞」的照片，你應該有什麼想法？,哇！大象真的會飛，趕快傳給全班看,這可能是 AI 做出來的假照片，不要輕易相信,大象本來就很輕，所以可以在雲上跳舞,,B,像「深偽技術」可能會做出合成得像真的一樣的假照片，看到奇怪的圖片時要保持懷疑，不要輕易相信和轉傳。,,,,,,
8,low008,low,single_choice,二、 學習運用與正向協助 (輔助學習工具),在自然課遇到不懂的昆蟲問題，你可以怎麼用 AI 幫忙？,請 AI 給我所有考卷的答案,把 AI 當成「好學小幫手」，問它更多關於昆蟲的知識,叫 AI 去幫我抓昆蟲,,B,AI 是一個很好的學習夥伴，我們可以把它當成「好奇心助手」，遇到不懂的新知識時多問為什麼，幫助我們學得更好。,,,,,,
9,low009,low,single_choice,三、 使用安全與倫理規範 (學術倫理與誠實),老師出了一份畫圖的暑假作業，你想請 AI 幫忙，哪一種做法才是對的？,自己先思考想畫什麼，再請 AI 一起幫忙找靈感,直接叫 AI 畫完，當成自己的作業交給老師,叫 AI 幫全班同學畫作業,,A,我們應該先有自己的原創想法，再讓 AI 成為協助我們的工具，而且絕對不能直接把 AI 的作品當成自己的交出去。,,,,,,
10,low010,low,single_choice,一、 AI 認知與資訊素養 (批判性思考),遇到 AI 給你的答案看起來怪怪的，甚至跟你學過的不一樣時，你應該怎麼做？,完全相信 AI ，因為 AI 最聰明,懷疑它，當個小偵探去查查看有沒有錯，並問老師,覺得好玩，馬上傳給別人看,,B,AI 有時候也會犯錯或產生幻覺，所以當我們覺得答案有問題時，要勇敢當個小偵探去多方查證，不要完全依賴 AI。,,,,,,
